iter	Passed	Remaining
790	2495	659
791	2497	656
792	2500	652
793	2503	649
794	2506	646
795	2509	643
796	2512	639
797	2515	636
798	2518	633
799	2521	630
800	2523	627
801	2526	623
802	2529	620
803	2532	617
804	2535	614
805	2538	611
806	2541	607
807	2544	604
808	2547	601
809	2550	598
810	2553	595
811	2556	591
812	2559	588
813	2562	585
814	2565	582
815	2567	579
816	2570	575
817	2573	572
818	2576	569
819	2579	566
820	2582	562
821	2585	559
822	2587	556
823	2590	553
824	2593	550
825	2596	546
826	2599	543
827	2601	540
828	2604	537
829	2607	534
830	2610	530
831	2613	527
832	2616	524
833	2619	521
834	2622	518
835	2624	514
836	2627	511
837	2630	508
838	2633	505
839	2636	502
840	2639	499
841	2642	495
842	2645	492
843	2648	489
844	2651	486
845	2654	483
846	2657	480
847	2660	476
848	2663	473
849	2666	470
850	2670	467
851	2673	464
852	2676	461
853	2679	458
854	2682	454
855	2685	451
856	2688	448
857	2691	445
858	2694	442
859	2697	439
860	2700	435
861	2703	432
862	2706	429
863	2709	426
864	2712	423
865	2715	420
866	2717	416
867	2720	413
868	2723	410
869	2726	407
870	2729	404
871	2732	401
872	2735	397
873	2738	394
874	2741	391
875	2744	388
876	2747	385
877	2750	382
878	2753	378
879	2756	375
880	2758	372
881	2761	369
882	2764	366
883	2767	363
884	2770	360
885	2773	356
886	2776	353
887	2779	350
888	2782	347
889	2785	344
890	2787	341
891	2790	337
892	2793	334
893	2796	331
894	2799	328
895	2802	325
896	2805	322
897	2808	319
898	2811	315
899	2814	312
900	2817	309
901	2820	306
902	2823	303
903	2826	300
904	2829	296
905	2832	293
906	2834	290
907	2837	287
908	2840	284
909	2843	281
910	2846	278
911	2849	274
912	2852	271
913	2855	268
914	2857	265
915	2860	262
916	2863	259
917	2866	256
918	2869	252
919	2872	249
920	2875	246
921	2877	243
922	2880	240
923	2883	237
924	2887	234
925	2890	231
926	2894	227
927	2897	224
928	2900	221
929	2903	218
930	2906	215
931	2909	212
932	2912	209
933	2915	205
934	2918	202
935	2920	199
936	2923	196
937	2926	193
938	2929	190
939	2932	187
940	2935	184
941	2938	180
942	2941	177
943	2944	174
944	2947	171
945	2950	168
946	2953	165
947	2956	162
948	2959	159
949	2962	155
950	2965	152
951	2967	149
952	2970	146
953	2973	143
954	2976	140
955	2979	137
956	2982	133
957	2985	130
958	2988	127
959	2991	124
960	2993	121
961	2996	118
962	2999	115
963	3002	112
964	3005	109
965	3008	105
966	3011	102
967	3014	99
968	3017	96
969	3020	93
970	3023	90
971	3025	87
972	3028	84
973	3031	80
974	3034	77
975	3037	74
976	3040	71
977	3043	68
978	3046	65
979	3049	62
980	3052	59
981	3055	55
982	3058	52
983	3060	49
984	3063	46
985	3066	43
986	3069	40
987	3072	37
988	3075	34
989	3078	31
990	3081	27
991	3084	24
992	3087	21
993	3089	18
994	3092	15
995	3095	12
996	3098	9
997	3101	6
998	3104	3
999	3107	0
